# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: Dreamcast CodeView members for every probed class (plus every class named in struct_calibration.csv, so the anchors the engine cannot reach are still documented), flagged where the recovered x86 layout touches the same offset. dc_type is RESOLVED from the cvdump type records - array extents and bitfield bit ranges included. DC offsets are SH4: cross-architecture, a lead, never an x86 claim
class,dc_offset,dc_name,dc_type,x86_offset_touched
advManager,0x224,monAttackObjIndex,T_INT4,yes
advManager,0x228,monAttackSpriteIndex,T_INT4,yes
advManager,0x22c,monAttackFlip,T_INT4,yes
advManager,0x230,touchedSounds,T_INT4,no
advManager,0x234,soundArray,soundNode[4],no
advManager,0x254,loopedSample,sample*[70],no
advManager,0x36c,cursorSamples,sample*[11],no
advManager,0x398,bHeroLogoShowing,T_INT4,yes
advManager,0x39c,bHeroMoving,T_UCHAR,yes
advManager,0x3a0,CurrentBottomView,advManager::EBottomViewType,yes
advManager,0x3a4,BottomViewOverride,advManager::EBottomViewType,yes
advManager,0x3a8,BottomViewOverrideEndTime,T_ULONG,yes
advManager,0x3ac,BottomViewResource,T_INT4,yes
advManager,0x3b0,BottomViewResourceQty,T_INT4,yes
advManager,0x3b4,BottomViewText,"std::basic_string<char,std::char_traits<char>,std::allocator<char>",yes
army,0x0,bShowAttackFrames,T_UCHAR,yes
army,0x1,bShowRangeFrames,T_UCHAR,yes
army,0x2,iShowAttackFrameType,T_CHAR,yes
army,0x3,iNextFrameType,T_CHAR,yes
army,0x4,iRemainingFramesToPlay,T_CHAR,yes
army,0x8,iDrawPriority,T_INT4,yes
army,0xc,bShowTroopCount,T_UCHAR,yes
army,0x10,groupToAttack,T_INT4,yes
army,0x14,indexToAttack,T_INT4,yes
army,0x18,attackLimit,T_INT4,yes
army,0x1c,targetCellIndex,T_INT4,yes
army,0x20,bShowPowEffect,T_UCHAR,yes
army,0x24,iMirrorSourceIndex,T_INT4,yes
army,0x28,iMirrorDestIndex,T_INT4,yes
army,0x2c,iRoundsLeftBeforeVanish,T_INT4,yes
army,0x30,IsMoving,T_UCHAR,yes
army,0x31,LetsPretendImNotHere,T_UCHAR,yes
army,0x34,armyType,TCreatureType,yes
army,0x38,gridIndex,T_INT4,yes
army,0x3c,currFrameType,T_INT4,yes
army,0x40,currFrameIndex,T_INT4,yes
army,0x44,facing,T_INT4,yes
army,0x48,walkDirection,T_INT4,yes
army,0x4c,numTroops,T_INT4,yes
army,0x50,numTroopsToShowOverride,T_INT4,yes
army,0x54,numTroopsBattleResurrected,T_INT4,yes
army,0x58,residualDamage,T_INT4,yes
army,0x5c,origPos,T_INT4,yes
army,0x60,origNumTroops,T_INT4,yes
army,0x64,origSpeed,T_INT4,yes
army,0x68,origWalkCycleTime,T_INT4,yes
army,0x6c,origHitPoints,T_INT4,yes
army,0x70,iLuckStatus,T_INT4,yes
army,0x74,sMonInfo,TCreatureTypeTraits,yes
army,0xd4,show_fire_shield,T_UCHAR,yes
army,0xd5,bSomeUnitsDamaged,T_UCHAR,no
army,0xd6,bAllUnitsKilled,T_UCHAR,no
army,0xd8,iPostPowSpellToCast,SpellID,yes
army,0xdc,hitByCreature,T_UCHAR,yes
army,0xe0,group,T_INT4,no
army,0xe4,index,T_INT4,no
army,0xe8,iLastFidgetTime,T_ULONG,yes
army,0xec,ySpecialMod,T_INT4,yes
army,0xf0,xSpecialMod,T_INT4,yes
army,0xf4,bPowSequenceComplete,T_INT4,yes
army,0xf8,yModify,T_32PCHAR,yes
army,0xfc,sMonFrameInfo,SMonFrameInfo,yes
army,0x150,stdIcon,CSprite*,yes
army,0x154,missileIcon,CSprite*,no
army,0x158,image_height,T_INT4,yes
army,0x15c,armySample,sample*[8],yes
army,0x17c,expected_move_order,T_LONG,yes
army,0x180,numSpellInfluences,T_INT4,no
army,0x184,spellInfluence,T_INT4[80],no
army,0x2c4,spell_level,TSkillMastery[80],no
army,0x404,SpellInfluenceQueue,std::deque<enum,no
army,0x42c,PaletteEffect,T_REAL32,yes
army,0x430,retaliationCount,T_INT4,yes
army,0x434,blessFactor,T_LONG,yes
army,0x438,curseFactor,T_LONG,yes
army,0x43c,antiMagicSpellLevel,T_INT4,yes
army,0x440,bloodlustBonus,T_INT4,yes
army,0x444,precisionBonus,T_INT4,yes
army,0x448,weaknessPenalty,T_INT4,yes
army,0x44c,toughskinBonus,T_INT4,yes
army,0x450,disruptiverayPenalty,T_INT4,yes
army,0x454,prayerBonus,T_INT4,yes
