# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: one row per recovered offset; kind r/w/rw, !union = >1 width seen
class,offset,width,n_methods,kind
TDialogBox,0x3c,4,3,rw
TDialogBox,0x3d,2,1,w
TDialogBox,0x3f,2,1,w
TDialogBox,0x40,4,2,w
TDialogBox,0x41,2,1,w
TDialogBox,0x43,1,1,w
TDialogBox,0x44,4,3,w!union
TDialogBox,0x45,1,1,w
TDialogBox,0x46,1,1,w
TDialogBox,0x47,1,1,w
TDialogBox,0x48,4,3,w!union
TDialogBox,0x49,4,1,w
TDialogBox,0x4c,4,2,w
TDialogBox,0x4d,4,1,w
TDialogBox,0x51,4,1,w
TDialogBox,0x55,2,1,w
TDialogBox,0x57,4,1,w
TDialogBox,0x5b,4,1,w
TDialogBox,0x5f,4,1,w
TDialogBox,0x63,4,1,w
TDialogBox,0x67,4,1,w
TDialogBox,0x6b,4,1,w
TDialogBox,0x6f,4,1,w
TDialogBox,0x73,4,1,w
TDialogBox,0x77,4,1,w
TDialogBox,0x7b,4,1,w
TDialogBox,0x7f,4,1,w
TDialogBox,0x83,4,1,w
TDialogBox,0x87,4,1,w
TDialogBox,0x8b,4,1,w
TDialogBox,0x8f,1,1,w
TDialogBox,0x90,1,1,w
TDialogBox,0x91,4,1,w
TDialogBox,0xc9,1,1,w
TDialogBox,0xe5,1,1,w
TDialogBox,0x101,4,1,w
TDialogBox,0x105,4,1,w
TDialogBox,0x109,4,1,w
TDialogBox,0x10d,1,1,w
TDialogBox,0x10e,4,1,w
TDialogBox,0x112,4,1,w
TDialogBox,0x116,4,1,w
TDialogBox,0x11a,1,1,w
TDialogBox,0x11b,1,1,w
TDialogBox,0x11c,1,1,w
TDialogBox,0x11d,4,1,w
TDialogBox,0x121,4,1,w
TDialogBox,0x125,4,1,w
TDialogBox,0x129,4,1,w
TDialogBox,0x12d,4,1,w
TDialogBox,0x131,4,1,w
TDialogBox,0x1c5,1,1,w
TDialogBox,0x1d4,4,1,w
TDialogBox,0x1d8,4,1,w
TDialogBox,0x3d4,1,1,w
TDialogBox,0x3d5,4,1,w
TDialogBox,0x3d9,1,1,w
