# generator: homm3.analysis.dc_bracket
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - a `forced`
# row is a link-order proof proposal; it becomes
# evidence only when a supervised review promotes it
# into a VA() claim.
unit	dc_offset	dc_size	proposed_rva	proposed_size	grade	name	detail
ai_player	0x2dff4	160		0	ambiguous	type_garrison_purchaser::mark_town	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2e094	200		0	ambiguous	type_AI_player::get_resource_value	gap 11 dc vs 4 retail [0x28410..0x28710]
ai_player	0x2f280	558		0	ambiguous	type_AI_player::calculate_reserve	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f4b0	150		0	ambiguous	value_of_dwelling	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f548	180		0	ambiguous	value_of_dwelling_upgrade	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f5fc	152		0	ambiguous	sum_player_dwellings	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f694	524		0	ambiguous	fill_prohibited_array	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f8a0	248		0	ambiguous	value_of_castle_upgrade	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f998	36		0	ambiguous	value_of_silo	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2f9bc	204		0	ambiguous	value_of_horde	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2fa88	162		0	ambiguous	value_of_horde_upgrade	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2fb2c	640		0	ambiguous	value_of_hall	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x2fdac	668		0	ambiguous	value_of_building	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x30048	262		0	ambiguous	get_requirements	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x30150	116		0	ambiguous	get_full_cost	gap 13 dc vs 2 retail [0x29ab0..0x2a150]
ai_player	0x302e0	84		0	ambiguous	mark_values	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x30334	406		0	ambiguous	type_AI_player::check_trade_supply	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x304cc	230		0	ambiguous	type_AI_player::trade_resources	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x305b4	1054		0	ambiguous	type_AI_player::can_trade_resources	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x309d4	154		0	ambiguous	type_AI_player::build_markets	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x30a70	762		0	ambiguous	type_AI_player::do_resource_trade	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x30d6c	706		0	ambiguous	type_AI_player::purchase_building	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31030	98		0	ambiguous	MaxBuyableCreatures	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x31094	96		0	ambiguous	type_AI_player::purchase_buildings	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
