# generator: homm3.analysis.dc_callgraph
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - a
# `callgraph-unique` row needs retail-corroborated
# promotion into a VA() claim.
unit	dc_offset	proposed_rva	candidates	grade	name	detail
ai_player	0x31ffc			no-signal	type_AI_creature_purchaser::set	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x32038			no-signal	type_AI_creature_purchaser::do_best_purchase	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x32288			no-signal	type_AI_creature_purchaser::do_purchase	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x322f8			no-signal	type_AI_creature_purchaser::get_purchase_value	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x323bc			no-signal	AI_consolidate_army	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x32430			no-signal	AI_arrange_army	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x325bc			no-signal	split_army	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x32670			no-signal	split_armies	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x3285c			no-signal	AI_arrange_army_for_combat	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x32894			no-signal	mark_danger_zones	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
ai_player	0x329f8			no-signal	AI_mark_danger_zones	gap 134 dc vs 41 retail [0x2a150..0x2ed30]
