# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
proc,module,kind,sp_offset,type,name
heroWindowManager::Flash,winmgr.obj,param,fp+0x8,T_INT4(0074),startY
heroWindowManager::Flash,winmgr.obj,param,fp+0xc,T_INT4(0074),width
heroWindowManager::Flash,winmgr.obj,param,fp+0x10,T_INT4(0074),height
heroWindowManager::Flash,winmgr.obj,param,fp+0x14,T_INT4(0074),iFadeTime
heroWindowManager::Flash,winmgr.obj,local,sp+0x30,0x103A,bmpFizzleTarget
heroWindowManager::Flash,winmgr.obj,local,sp+0x24,0x1077,DEFAULT_FADE_TIME
heroWindowManager::Flash,winmgr.obj,local,sp+0x2c,T_INT4(0074),iColorCyclingSave
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0xe0,0x1011,this
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0xe4,T_INT4(0074),sx
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0xe8,T_INT4(0074),sy
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0xec,T_INT4(0074),sw
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0xf0,T_INT4(0074),sh
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0xf4,0x1079,src_bmp
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0xf8,T_INT4(0074),dx
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0xfc,T_INT4(0074),dy
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0x100,T_UCHAR(0020),tblit
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0x104,T_INT4(0074),nframes
heroWindowManager::FadeBlit,winmgr.obj,param,fp+0x108,T_INT4(0074),period
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x50,0x103A,saved_dest
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x1c,T_INT4(0074),frame
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x40,0x103F,spal
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x48,T_ULONG(0022),next_frame_time
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x44,0x1077,factor
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x18,T_32PUSHORT(0421),dst
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x14,0x107D,src
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x30,T_INT4(0074),y
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x38,0x107D,s
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x3c,T_32PUSHORT(0421),d
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x34,0x103F,od
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x2c,T_INT4(0074),x
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x4c,0x1077,og
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x34,T_INT4(0074),y
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x30,0x107D,s
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x3c,T_32PUSHORT(0421),d
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x2c,0x103F,od
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x38,T_INT4(0074),x
heroWindowManager::FadeBlit,winmgr.obj,local,sp+0x4c,0x1077,og
heroWindowManager::FadeToBlack,winmgr.obj,param,fp+0xe0,0x1011,this
heroWindowManager::FadeToBlack,winmgr.obj,param,fp+0xe4,T_INT4(0074),speed
heroWindowManager::FadeToBlack,winmgr.obj,param,fp+0xe8,T_UCHAR(0020),expect_fadein
heroWindowManager::FadeToBlack,winmgr.obj,local,sp+0x40,0x103A,bmpFadeSource
heroWindowManager::FadeToBlack,winmgr.obj,local,sp+0x34,0x1077,FADE_PERIOD
heroWindowManager::FadeToBlack,winmgr.obj,local,sp+0x28,0x1080,blue_mask_2
heroWindowManager::FadeToBlack,winmgr.obj,local,sp+0x3c,0x1080,red_mask_2
heroWindowManager::FadeToBlack,winmgr.obj,local,sp+0x2c,0x1080,green_mask_2
heroWindowManager::FadeToBlack,winmgr.obj,local,sp+0x24,T_32PUINT4(0475),dst
heroWindowManager::FadeToBlack,winmgr.obj,local,sp+0x30,T_ULONG(0022),time1
heroWindowManager::FadeToBlack,winmgr.obj,local,sp+0x38,T_ULONG(0022),next_fade_time
heroWindowManager::FadeToBlack,winmgr.obj,local,sp+0x34,0x1080,r
