# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
seg,offset,name
3,0x11690,??_C@_0N@OOIG@HPL060Dm?4PCX?$AA@
1,0x12c36c,?SeedPosition@searchArray@@QAAXPAVhero@@Utype_point@@1H_NW4type_search_type@@H2@Z
1,0x1d9e0,?DisableButtons@advManager@@QAAXXZ
1,0x6d58c,?GetCommand@combatManager@@QAAHH@Z
3,0xa144,??_C@_04HDDJ@halb?$AA@
3,0xa3b0,??_C@_04IOFE@sglm?$AA@
3,0xaa08,??_C@_04KALE@eelm?$AA@
2,0x2774,??_7CDPlay@@6B@
1,0x9c97c,?WagonHasArtifact@ExtraInfoUnion@@QBA_NXZ
3,0x1362c,??_C@_0CB@INA@empty?5distance?5tree?5with?5lengths@
1,0xf9b1c,?__stl_alloc_rebind@std@@YAAAV?$allocator@UTObjectCell@NewmapCell@@@1@AAV21@PBUTObjectCell@NewmapCell@@@Z
1,0xfe374,?IsAvailable@TPickANumber@@QBA_NH@Z
3,0x1dff8,??_C@_08HJHL@TBTwdw_6?$AA@
1,0x1fd0c,?obscure_cell@hero@@QAAXXZ
1,0x572d0,?Main@button@@UAAHAAUmessage@@@Z
1,0x8be38,?GetId@CDPlayMsg@@QAAKXZ
1,0xbfb0c,??0?$_STL_alloc_proxy@PAUSign@@U1@V?$allocator@USign@@@std@@@std@@QAA@ABV?$allocator@USign@@@1@ABQAUSign@@@Z
3,0x11810,??_C@_0N@LMDH@HPL072Nc?4PCX?$AA@
3,0x1ea24,??_C@_08HNKH@TBFrdw_4?$AA@
3,0x17d98,??_C@_04BLBL@Sand?$AA@
1,0x16a1a4,??1townObject@@QAA@XZ
3,0x3134,??_C@_04MCKL@e2Ae?$AA@
1,0xfcefc,?__uninitialized_fill_n_aux@std@@YAPAVMonsterData@@PAV2@IABV2@U__false_type@@@Z
3,0x1af0c,??_C@_09DHMN@sp04_?4def?$AA@
1,0x717c0,?__destroy@std@@YAXPAW4TArtifact@@00@Z
1,0x11e9a0,?handle_message@CWaitForRemoteBattleDlg@@UAAHAAUmessage@@@Z
1,0x49748,?CancelIndividualSpell@army@@QAAXH@Z
3,0xa874,??_C@_04DIIL@tbrd?$AA@
3,0xa2fc,??_C@_04NFMM@btre?$AA@
1,0xd44a4,?GetMysticismBonus@hero@@QBAHXZ
3,0x2e270,?gpWindowManager@@3PAVheroWindowManager@@A
1,0x11eb9c,?Save@CSaveScreen@@QAAXHH@Z
3,0x1e8bc,??_C@_08LFNH@TBFrmag4?$AA@
3,0x17ab8,??_C@_0M@MBNF@OvButn2?4def?$AA@
1,0x7fdb8,_ClientToScreen
1,0x4d154,?_M_pop_back_aux@?$deque@W4SpellID@@V?$allocator@W4SpellID@@@std@@$0A@@std@@IAAXXZ
1,0x9dfac,?sort_heap@std@@YAXPAW4SpellID@@0Vspell_level_order@@@Z
1,0x128950,??0?$allocator@PAVtextWidget@@@std@@QAA@XZ
1,0x128954,??1?$allocator@PAVtextWidget@@@std@@QAA@XZ
1,0x18fad8,?set_skill@type_university_skill_button@@QAAXW4TSecondarySkill@@_N@Z
1,0x1984ec,?Exists@File@@SA_NPBD@Z
1,0x353c,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAA@PBDABV?$allocator@D@1@@Z
1,0x38848,?end@?$vector@Utype_creature_value@@V?$allocator@Utype_creature_value@@@std@@@std@@QAAPAUtype_creature_value@@XZ
1,0x4c9ec,?NeedToTurn@army@@QBA_NH@Z
3,0xa9a4,??_C@_04ELKF@wyvn?$AA@
1,0x4cc74,?MarkCreatureEffect@combatManager@@QAAXHH@Z
1,0xc9d08,?gzdopen@@YIPAXHPAD@Z
1,0xd59b8,??_Ftype_artifact@@QAAXXZ
3,0x1adc4,??_C@_0M@DKDK@C08spW5?4def?$AA@
1,0x52618,??0Bitmap24Bit@@QAA@XZ
1,0xc184c,?load_vector@@YA_NPAXAAV?$vector@W4TArtifact@@V?$allocator@W4TArtifact@@@std@@@std@@@Z
3,0x7254,?const_creature_bank_traits@@3AAY0L@$$CBUtype_creature_bank_traits@@A
1,0x16d1e0,?ArmyCommand@townManager@@QAAXPAVstrip@@HH_N@Z
1,0x3df28,?get_age_value@type_AI_spellcaster@@IBAJPBVarmy@@Utype_enchant_data@@@Z
1,0x8cbb0,?get_type@type_record_claim_mine@@UBA?AW4type_event_record_type@@XZ
1,0x8872c,?SetupSoundBuffer@ds_genericsample@@AAA_NXZ
3,0x1d898,??_C@_08IIFB@TOFMag1A?$AA@
1,0x6ac18,?__uninitialized_fill_n@std@@YAPAPAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@PAPAV21@IABQAV21@0@Z
1,0x11f6a8,??0CPlayerDropMsg@@QAA@K@Z
1,0x2cf2c,?__insertion_sort@std@@YAXPAUtype_monster_data@@0@Z
1,0x8a074,??0CDPlay@@QAA@XZ
3,0x1e634,??_C@_08LBED@TBDnup_0?$AA@
3,0xb3f8,??_C@_0N@MKKK@Session?5lost?$AA@
3,0x4c,__imp__Sleep
1,0x147860,??1CHostWaitDlg@@UAA@XZ
3,0x34878,?AdvObjNames@@3PBVTTextResource@@B
3,0x1cd24,??_C@_09CLJB@PRTan?4pcx?$AA@
1,0x36c40,??0type_antiluck_artifact@@QAA@XZ
3,0xa7e8,??_C@_04DJHK@gwrd?$AA@
1,0x8cb2c,??0type_record_claim_mine@@QAA@JD@Z
1,0xfcd10,?_M_allocate_and_copy@?$vector@W4SpellID@@V?$allocator@W4SpellID@@@std@@@std@@IAAPAW4SpellID@@IPBW43@0@Z
2,0x4f24,??_7CChatEdit@@6B@
3,0x1d9f0,??_C@_04PLGB@TBRm?$AA@
1,0x25df8,?has_ranged_advantage@combatManager@@AAA_NAAVtype_AI_combat_parameters@@@Z
3,0xa2e8,??_C@_04LIIK@tree?$AA@
1,0xd4db0,?GetSpellDurationBonus@hero@@QBAHXZ
1,0xf63d4,?resize@?$vector@VCObjectType@@V?$allocator@VCObjectType@@@std@@@std@@QAAXIABVCObjectType@@@Z
3,0x1b614,??_C@_08MEDO@cMapSize?$AA@
1,0x8a0e4,??1CDPlay@@UAA@XZ
1,0xb6878,?SetupTowns@game@@QAAXXZ
3,0x17da0,??_C@_04IBG@Dirt?$AA@
1,0x3b1a4,?iter_swap@std@@YAXPAUtype_creature_value@@0@Z
1,0xdc05c,?inflate_flush@@YAHPAUinflate_blocks_state@@PAUz_stream_s@@H@Z
1,0x38614,??1type_antiluck_artifact@@UAA@XZ
3,0x1e004,??_C@_08EIBL@TBTwup_0?$AA@
1,0x37d2c,??9type_point@@QBA_NABU0@@Z
1,0x3d764,??1type_AI_spellcaster@@UAA@XZ
1,0x57a24,?Dim@button@@UBAXXZ
3,0x220b4,?campaignWhich@@3DA
1,0x1453ec,?EnumMapleDevicesCallback@@YAHPBUMAPLEDEVICEINSTANCE@@PAX@Z
3,0x1ea84,??_C@_08EMMH@TBFrup_2?$AA@
1,0x122c2c,??0?$map@VTCacheMapKey@ResourceManager@@PAVresource@@U?$less@VTCacheMapKey@ResourceManager@@@std@@V?$allocator@U?$pair@$$CBVTCacheMapKey@ResourceManager@@PAVresource@@@std@@@5@@std@@QAA@XZ
1,0x122c14,??1?$map@VTCacheMapKey@ResourceManager@@PAVresource@@U?$less@VTCacheMapKey@ResourceManager@@@std@@V?$allocator@U?$pair@$$CBVTCacheMapKey@ResourceManager@@PAVresource@@@std@@@5@@std@@QAA@XZ
1,0x126640,?offering_click@type_sacrifice_window@@QAAXJ_N@Z
3,0x1f22c,??_C@_0CE@OMLF@Access?5to?5file?5to?5rename?5was?5den@
1,0x60220,?ExperienceValueOfStack@combatManager@@QAAHH@Z
1,0x60b20,?RemoveObstacle@combatManager@@QAAXH@Z
1,0x66b88,??A?$deque@W4SpellID@@V?$allocator@W4SpellID@@@std@@$0A@@std@@QBAABW4SpellID@@I@Z
3,0x137bc,?gbLowMemory@@3HA
1,0x11ff28,??D?$_Deque_iterator@PAVCNetMsg@@U?$_Nonconst_traits@PAVCNetMsg@@@std@@U?$_Buf_size_traits@PAVCNetMsg@@$0A@@3@@std@@QBAAAPAVCNetMsg@@XZ
1,0x394ec,?_M_insert_overflow@?$vector@Utype_creature_source@@V?$allocator@Utype_creature_source@@@std@@@std@@IAAXPAUtype_creature_source@@ABU3@I@Z
1,0x3c810,?AI_get_attack_damage@@YAJABVarmy@@J0_NJ@Z
1,0x4ca44,?get_attack_direction@army@@QBAJPBV1@@Z
1,0x4d5d4,?iterator_category@std@@YA?AUrandom_access_iterator_tag@1@ABU?$_Deque_iterator@W4SpellID@@U?$_Nonconst_traits@W4SpellID@@@std@@U?$_Buf_size_traits@W4SpellID@@$0A@@3@@1@@Z
1,0xbe604,?resize@?$vector@UTRumour@game@@V?$allocator@UTRumour@game@@@std@@@std@@QAAXI@Z
3,0xaa1c,??_C@_04MPEC@felm?$AA@
1,0x8f20c,??_Etype_record_player_death@@UAAPAXI@Z
1,0x8f20c,??_Gtype_record_player_death@@UAAPAXI@Z
1,0xa51b0,?load@playerData@@QAAHPAX@Z
1,0xa2bb4,?bufwrite@@YAHPBXH@Z
1,0xf6d58,?end@?$vector@VTTimedEvent@@V?$allocator@VTTimedEvent@@@std@@@std@@QAAPAVTTimedEvent@@XZ
1,0x12b7f4,?enter_gate@searchArray@@AAAXABUpathCell@@PBVNewmapCell@@J@Z
3,0x1da08,??_C@_04NFPM@TBNc?$AA@
3,0xa748,??_C@_04CKLA@mino?$AA@
1,0x140670,?UpdateTurnDuration@@YAXXZ
1,0x3de90,?consider_mass_damage@type_AI_spellcaster@@IBAXAAUtype_spell_choice@@@Z
1,0xccc68,?GetExperienceIncrement@hero@@SAHH@Z
1,0x18b3d4,?SetupNewTrade@TSellCreatureWindow@@AAAXXZ
1,0x5fc00,?IsWinner@combatManager@@QBA_NH@Z
1,0xfc8fc,?__copy_backward@std@@YAPAVTTownEvent@@PAV2@00Urandom_access_iterator_tag@1@PAH@Z
1,0x12927c,?destroy@std@@YAXPAPAVtextWidget@@0@Z
3,0x1af18,??_C@_09NPKN@sp03_?4def?$AA@
1,0x18b3a8,?SetupNewTrade@TSellArtifactWindow@@AAAXXZ
3,0xa644,??_C@_04FDOG@plch?$AA@
1,0xbe220,?resize@?$vector@Vgarrison@@V?$allocator@Vgarrison@@@std@@@std@@QAAXI@Z
1,0x14767c,??0CHostWaitDlg@@QAA@XZ
3,0x1d694,??_C@_08GEPK@TODtr2Ha?$AA@
1,0x18c94c,??_ETBuyArtifactWindow@@UAAPAXI@Z
1,0x18c94c,??_GTBuyArtifactWindow@@UAAPAXI@Z
3,0x1f028,??_C@_0M@CIPO@iViewCr?4def?$AA@
1,0x2bd6c,?create_skeletons@@YAXPBVhero@@FAAVarmyGroup@@@Z
3,0xa5cc,??_C@_04NNDC@zmbl?$AA@
3,0xab74,??_C@_04GNFA@Hero?$AA@
1,0x121ac8,?GetBitmap816@ResourceManager@@YAPAVBitmap816@@PBD@Z
2,0x8730,_CLSID_DirectMusicTempoTrack
3,0x1b4,__imp__LoadLibraryW
3,0xa590,??_C@_04FPNC@skel?$AA@
1,0xcc49c,?HeroMessageUpdate@THeroScreenWindow@@AAAXPAD@Z
1,0x1492b8,??_ECEnterNameEdit@@UAAPAXI@Z
1,0x1492b8,??_GCEnterNameEdit@@UAAPAXI@Z
3,0x1a8a4,??_C@_09NBJG@Decay?4wav?$AA@
3,0x330ec,?gSpellbookHelp@@3PAUTHelpText@@A
1,0x64f64,?set_rollover_buttons@type_combat_sub_window@@UAAXJJ@Z
1,0xfcccc,?__uninitialized_fill_n_aux@std@@YAPAUSecondarySkillData@@PAU2@IABU2@U__false_type@@@Z
2,0x7920,_IID_IDirectDrawColorControl
