# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
name,size,members,statics,bases
coloredBorder,56,1,0,border
coloredBorderFrame,60,2,0,border
combatManager::SCmbtHero,16,4,0,
combatManager::SElevationOverlay,68,5,0,
combatManager::TArcher,32,8,0,
combatManager::TArcherTraits,32,8,0,
combatManager::TObstacle,24,8,0,
combatManager::TObstacleInfo,20,7,0,
combatManager::TWallTarget,12,5,0,
combatManager::TWallTraits,36,6,0,
combatManager::adjacency_array,12,1,0,
configStruct,212,35,0,
config_s,12,5,0,
ct_data_s,4,2,0,
ds_engine,1044,10,0,dsound
ds_genericsample,260,22,0,dsound
ds_memsample,260,0,0,ds_genericsample
ds_streamsample,268,2,0,ds_genericsample
dsound,1,0,2,
executive,16,4,0,
font,5212,3,0,resource
font::TFontSpec,4128,12,0,
font::TFontSpec::myABC,12,3,0,
func_moves_before,1,0,0,
game::TRumour,16,2,0,
garrison,64,5,0,
generator,92,10,0,
gz_stream,100,12,0,
hero,1140,65,0,type_obscuring_object
heroWindow,68,14,0,
heroWindowManager,104,13,2,baseManager
hexcell,112,22,0,
iconBackedTextWidget,88,2,0,textWidget
iconWidget,76,6,0,widget
iconWidget::NextRandomFrame::__unnamed,8,2,0,
iconWidget::NextRandomSiegeEngineFrame::__unnamed,8,2,0,
imgdes,44,11,0,
inflate_blocks_state,64,12,0,
inflate_blocks_state::__unnamed::__unnamed,20,5,0,
inflate_codes_state,28,7,0,
inflate_codes_state::__unnamed::__unnamed,8,2,0,
inflate_huft_s,8,2,0,
inflate_huft_s::__unnamed::__unnamed,2,2,0,
inputManager,2944,20,0,baseManager
internal_state,5816,57,0,
internal_state::__unnamed::__unnamed,8,2,0,
message,40,10,0,
mine,12,8,0,
mouseManager,140,14,1,baseManager
node<ds_genericsample>,24,3,0,
node<ds_memsample>,24,3,0,
node<unsigned,24,3,0,
pathCell,32,22,0,type_point
playerData,344,26,0,
recruitUnit,188,27,0,baseManager
resource,28,3,0,
sample,16,1,0,
searchArray,100,19,0,
slider,108,16,0,widget
soundManager,1168,6,0,baseManager
soundNode,8,2,0,
spell_level_order,1,0,0,
static_tree_desc_s,20,5,0,
"std::_Base_bitset<1,unsigned",4,1,0,
"std::_Base_bitset<2,unsigned",8,1,0,
"std::_Base_bitset<3,unsigned",12,1,0,
"std::_Bit_iter<bool,bool",8,0,0,std::_Bit_iterator_base
"std::_Bit_iter<std::_Bit_reference,std::_Bit_reference",8,0,0,std::_Bit_iterator_base
std::_Bit_iterator_base,8,2,0,
std::_Bit_reference,8,2,0,
std::_Buf_size_traits<CNetMsg,1,0,0,
std::_Buf_size_traits<enum,1,0,0,
std::_Bvector_base<std::allocator<bool>,20,3,0,
std::_Deque_base<CNetMsg,40,4,0,
std::_Deque_base<enum,40,4,0,
std::_Deque_iterator<CNetMsg,16,0,0,std::_Deque_iterator_base<CNetMsg
std::_Deque_iterator<enum,16,0,0,std::_Deque_iterator_base<enum
std::_Deque_iterator_base<CNetMsg,16,4,0,
std::_Deque_iterator_base<enum,16,4,0,
"std::_Floating_limits<double,53,15,-1021,1024,-307,308,2146435072,2146500608,2147024896,1,1>",1,0,19,std::_Numeric_limits_base<double>
"std::_Floating_limits<float,24,6,-125,128,-37,38,2139095040,2139160576,2143354880,1,1>",1,0,19,std::_Numeric_limits_base<float>
std::_Floating_limits<long,1,0,19,std::_Numeric_limits_base<long
std::_Integer_limits<unsigned,1,0,9,std::_Numeric_limits_base<unsigned
std::_Node_alloc_obj,4,1,0,
std::_Numeric_limits_base<double>,1,0,22,
std::_Numeric_limits_base<float>,1,0,22,
std::_Numeric_limits_base<long,1,0,22,
std::_Numeric_limits_base<unsigned,1,0,22,
std::_Rb_tree<enum,12,2,0,std::_Rb_tree_base<enum
std::_Rb_tree_base<enum,4,1,0,
std::_Rb_tree_base_iterator,4,1,0,
std::_Rb_tree_iterator<enum,4,0,0,std::_Rb_tree_base_iterator
std::_Rb_tree_iterator<std::pair<ResourceManager::TCacheMapKey,4,0,0,std::_Rb_tree_base_iterator
std::_Rb_tree_node_base,16,4,0,
std::_STL_alloc_proxy<BlackBoxData,4,1,0,std::allocator<BlackBoxData>
std::_STL_alloc_proxy<CNetMsg,4,1,0,std::allocator<CNetMsg
std::_STL_alloc_proxy<CObject,4,1,0,std::allocator<CObject>
std::_STL_alloc_proxy<CObjectType,4,1,0,std::allocator<CObjectType>
std::_STL_alloc_proxy<CSprite,4,1,0,std::allocator<CSprite
std::_STL_alloc_proxy<LODEntry,4,1,0,std::allocator<LODEntry>
std::_STL_alloc_proxy<MonsterData,4,1,0,std::allocator<MonsterData>
std::_STL_alloc_proxy<NewmapCell::TObjectCell,4,1,0,std::allocator<NewmapCell::TObjectCell>
std::_STL_alloc_proxy<SecondarySkillData,4,1,0,std::allocator<SecondarySkillData>
std::_STL_alloc_proxy<Sign,4,1,0,std::allocator<Sign>
std::_STL_alloc_proxy<TBlackMarket,4,1,0,std::allocator<TBlackMarket>
std::_STL_alloc_proxy<TSeerHut,4,1,0,std::allocator<TSeerHut>
std::_STL_alloc_proxy<TTimedEvent,4,1,0,std::allocator<TTimedEvent>
std::_STL_alloc_proxy<TTownEvent,4,1,0,std::allocator<TTownEvent>
std::_STL_alloc_proxy<TownExtra,4,1,0,std::allocator<TownExtra>
std::_STL_alloc_proxy<TreasureData,4,1,0,std::allocator<TreasureData>
std::_STL_alloc_proxy<army,4,1,0,std::allocator<army
std::_STL_alloc_proxy<boat,4,1,0,std::allocator<boat>
std::_STL_alloc_proxy<char,4,1,0,std::allocator<char>
std::_STL_alloc_proxy<combatManager::TObstacle,4,1,0,std::allocator<combatManager::TObstacle>
std::_STL_alloc_proxy<enum,4,1,0,std::allocator<enum
std::_STL_alloc_proxy<game::TRumour,4,1,0,std::allocator<game::TRumour>
std::_STL_alloc_proxy<garrison,4,1,0,std::allocator<garrison>
std::_STL_alloc_proxy<generator,4,1,0,std::allocator<generator>
std::_STL_alloc_proxy<int,4,1,0,std::allocator<int>
std::_STL_alloc_proxy<long,4,1,0,std::allocator<long>
std::_STL_alloc_proxy<mine,4,1,0,std::allocator<mine>
std::_STL_alloc_proxy<pathCell,4,1,0,std::allocator<pathCell
std::_STL_alloc_proxy<resource,4,1,0,std::allocator<resource
std::_STL_alloc_proxy<std::_Rb_tree_node<enum,4,1,0,std::allocator<enum
std::_STL_alloc_proxy<std::vector<char,4,1,0,std::allocator<std::vector<char
std::_STL_alloc_proxy<town,4,1,0,std::allocator<town>
