# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
offset,cb,kind,name,module,file,line,debug_start,debug_end,params,locals
0x198434,52,global,File::File,winfile.obj,E:\gamedcs\winfile.cpp,33,8,44,1,0
0x198468,52,global,File::~File,winfile.obj,E:\gamedcs\winfile.cpp,39,4,44,1,0
0x19849c,10,global,File::IsOpen,winfile.obj,E:\gamedcs\winfile.cpp,45,0,6,1,0
0x1984a8,38,global,File::Close,winfile.obj,E:\gamedcs\winfile.cpp,50,8,30,1,0
0x1984d0,6,global,File::GetLastError,winfile.obj,E:\gamedcs\winfile.cpp,60,0,2,1,0
0x1984d8,18,global,File::UpdateError,winfile.obj,E:\gamedcs\winfile.cpp,65,4,10,2,0
0x1984ec,4,global,File::Exists,winfile.obj,E:\gamedcs\winfile.cpp,70,0,0,1,0
0x1984f0,24,global,File::Delete,winfile.obj,E:\gamedcs\winfile.cpp,77,4,16,1,0
0x198508,60,global,File::Rename,winfile.obj,E:\gamedcs\winfile.cpp,88,12,50,3,0
0x198544,4,global,File::SetAttribute,winfile.obj,E:\gamedcs\winfile.cpp,114,0,0,3,0
0x198548,30,global,File::GetAttribute,winfile.obj,E:\gamedcs\winfile.cpp,123,4,22,2,0
0x198568,78,global,File::Open,winfile.obj,E:\gamedcs\winfile.cpp,139,16,66,3,0
0x1985b8,44,global,File::Write,winfile.obj,E:\gamedcs\winfile.cpp,184,4,36,3,1
0x1985e4,44,global,File::Read,winfile.obj,E:\gamedcs\winfile.cpp,199,4,36,3,1
0x198610,32,global,File::SeekEnd,winfile.obj,E:\gamedcs\winfile.cpp,212,4,24,1,0
0x198630,32,global,File::SeekBegin,winfile.obj,E:\gamedcs\winfile.cpp,220,4,24,1,0
0x198650,30,global,File::SeekCur,winfile.obj,E:\gamedcs\winfile.cpp,230,4,22,2,0
0x198670,116,global,File::Seek,winfile.obj,E:\gamedcs\winfile.cpp,240,12,106,3,0
0x1986e4,32,global,File::GetPosition,winfile.obj,E:\gamedcs\winfile.cpp,255,4,24,1,0
0x198704,68,global,File::GetLength,winfile.obj,E:\gamedcs\winfile.cpp,265,12,56,1,0
0x198748,32,global,CFindFile::CFindFile,winfile.obj,E:\gamedcs\winfile.cpp,370,8,24,1,0
0x198768,16,global,CFindFile::~CFindFile,winfile.obj,E:\gamedcs\winfile.cpp,378,4,8,1,0
0x198778,4,global,CFindFile::FindFile,winfile.obj,E:\gamedcs\winfile.cpp,383,0,0,2,0
0x19877c,28,global,CFindFile::FindNext,winfile.obj,E:\gamedcs\winfile.cpp,397,6,20,1,0
0x198798,34,global,CFindFile::Close,winfile.obj,E:\gamedcs\winfile.cpp,405,8,26,1,0
0x1987bc,24,global,CFindFile::GetLength,winfile.obj,E:\gamedcs\winfile.cpp,413,0,20,1,0
0x1987d4,6,global,CFindFile::GetFilename,winfile.obj,E:\gamedcs\winfile.cpp,421,0,2,1,0
0x1987dc,16,global,CFindFile::IsReadOnly,winfile.obj,E:\gamedcs\winfile.cpp,433,0,12,1,0
0x1987ec,16,global,CFindFile::IsSystem,winfile.obj,E:\gamedcs\winfile.cpp,441,0,12,1,0
0x1987fc,18,global,CFindFile::IsNormal,winfile.obj,E:\gamedcs\winfile.cpp,449,0,14,1,0
0x198810,4,global,CFindFile::IsDots,winfile.obj,E:\gamedcs\winfile.cpp,457,0,0,1,0
0x198814,26,global,CFindFile::IsDirectory,winfile.obj,E:\gamedcs\winfile.cpp,466,4,18,1,0
0x198830,16,global,CFindFile::IsHidden,winfile.obj,E:\gamedcs\winfile.cpp,474,0,12,1,0
0x198840,36,global,CFindFile::IsArchived,winfile.obj,E:\gamedcs\winfile.cpp,482,0,12,1,0
0x198864,12,global,File::Init,winfile.obj,E:\gamedcs\winfile.h,90,0,6,1,0
0x197138,152,global,heroWindow::heroWindow,window.obj,E:\gamedcs\window.cpp,48,28,116,6,0
0x1971d0,76,global,heroWindow::~heroWindow,window.obj,E:\gamedcs\window.cpp,80,8,68,1,0
0x19721c,196,global,heroWindow::Open,window.obj,E:\gamedcs\window.cpp,94,16,184,3,0
0x1972e0,60,global,heroWindow::Close,window.obj,E:\gamedcs\window.cpp,165,10,50,2,0
0x19731c,4,global,heroWindow::handle_message,window.obj,E:\gamedcs\window.cpp,194,0,0,2,0
0x197320,4,global,heroWindow::handle_widget_hover,window.obj,E:\gamedcs\window.cpp,202,0,0,0,0
