# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
class,offset,type,name
CGameTransferSmack,4,T_INT4(0074),m_y
CGameTransferSmack,8,T_INT4(0074),m_lastFrame
CGameTransferSmack,12,T_UCHAR(0020),m_started
CGameTransferSmack,13,T_UCHAR(0020),m_sending
CGameTransferSmack,14,T_UCHAR(0020),m_drawText
CGameTransferSmack,16,0x2C97,m_saveScreen
CGameTransmitEndMsg,20,T_INT4(0074),m_iMonthType
CGameTransmitEndMsg,24,T_INT4(0074),m_iMonthTypeExtra
CGameTransmitEndMsg,28,T_INT4(0074),m_iWeekType
CGameTransmitEndMsg,32,T_INT4(0074),m_iWeekTypeExtra
CGameTransmitEndMsg,36,T_ULONG(0022),m_diffSize
CGameTransmitInitMsg,20,T_ULONG(0022),m_fileSize
CGameTransmitInitMsg,24,T_ULONG(0022),m_fullGameCRC
CGameTransmitInitMsg,28,T_ULONG(0022),m_thisPlayerDead
CGameTransmitInitMsg,32,T_UCHAR(0020),m_isDiff
CGameTransmitInitMsg,33,T_UCHAR(0020),m_makeOrig
CGameTransmitMainMsg,20,T_ULONG(0022),m_blockNbr
CGameTransmitMainMsg,24,T_ULONG(0022),m_blockSize
CGameTransmitReqMsg,20,T_INT4(0074),m_blockNbr
CGiftMsg,20,T_INT4(0074),m_niceGuy
CGiftMsg,24,T_INT4(0074),m_resource
CGiftMsg,28,T_INT4(0074),m_qty
CGiftRequestMsg,20,T_INT4(0074),m_greedyGuy
CGiftRequestMsg,24,T_INT4(0074),m_resource
CHSInputDlg,76,0x4ACF,field1
CHSInputDlg,80,0x1744,header1
CHSInputDlg,84,0x1744,rollover
CHeroLevelUpdateMsg,20,T_INT4(0074),m_hero
CHeroLevelUpdateMsg,24,0x3583,m_ssLevel
CHeroLevelUpdateMsg,52,0x3584,m_stats
CHeroLevelUpdateMsg,56,T_INT4(0074),m_numSSs
CHeroWindowEx,68,T_INT4(0074),m_lastIMHoverID
CHeroWindowEx,72,T_INT4(0074),lastHover
CHostWaitDlg,112,0x1CC7,m_pNetMsg
CHostWaitDlg,116,T_ULONG(0022),m_waitForDPID
CHotSeatDlg,76,0x4496,edit
CHotSeatDlg,108,0x1744,m_rollover
