# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
seg,offset,scope,type,name,module
3,0x13d80,global,T_NOTYPE(0000),`string',lodfile.obj
3,0x13d9c,global,T_NOTYPE(0000),`string',lodfile.obj
3,0x13db8,global,T_NOTYPE(0000),`string',lodfile.obj
3,0x13dd4,global,T_NOTYPE(0000),`string',lodfile.obj
3,0x13df8,global,T_NOTYPE(0000),`string',lodfile.obj
3,0x13dfc,global,T_NOTYPE(0000),`string',lodfile.obj
3,0xfa8,global,T_32PRCHAR(0470),"std::__node_alloc<0,0>::_S_start_free",lodfile.obj
3,0xf68,global,0x13D3,"std::__node_alloc<0,0>::_S_free_list",lodfile.obj
3,0xfac,global,T_32PRCHAR(0470),"std::__node_alloc<0,0>::_S_end_free",lodfile.obj
3,0xfb0,global,T_UINT4(0075),"std::__node_alloc<0,0>::_S_heap_size",lodfile.obj
3,0x13ce4,static,T_INT4(0074),lastIMHoverID,levelupwindow.obj
3,0x13ce8,static,T_INT4(0074),lastIMHoverID,levelupwindow.obj
3,0x137f0,static,T_UCHAR(0020),__inside__,kb.obj
3,0x137f4,static,T_UCHAR(0020),__inside__,kb.obj
3,0x137f8,static,T_UCHAR(0020),__inside__,kb.obj
3,0x13650,global,0x47B5,inflate_mask,infutil.obj
3,0x13560,global,T_NOTYPE(0000),`string',inftrees.obj
3,0x13588,global,T_NOTYPE(0000),`string',inftrees.obj
3,0x135ac,global,T_NOTYPE(0000),`string',inftrees.obj
3,0x135d0,global,T_NOTYPE(0000),`string',inftrees.obj
3,0x135f0,global,T_NOTYPE(0000),`string',inftrees.obj
3,0x13610,global,T_NOTYPE(0000),`string',inftrees.obj
3,0x1362c,global,T_NOTYPE(0000),`string',inftrees.obj
3,0x13460,static,0x47C1,fixed_td,inftrees.obj
3,0x12460,static,0x47C2,fixed_tl,inftrees.obj
2,0x36bc,static,0x47C3,cpdext,inftrees.obj
2,0x3644,static,0x47C3,cpdist,inftrees.obj
2,0x354c,static,0x47C4,cplens,inftrees.obj
3,0x1245c,static,T_UINT4(0075),fixed_bd,inftrees.obj
3,0x12458,static,T_UINT4(0075),fixed_bl,inftrees.obj
2,0x35c8,static,0x47C4,cplext,inftrees.obj
2,0x3548,static,0x47DD,mark,inflate.obj
3,0x724c,global,T_NOTYPE(0000),`string',inflate.obj
3,0x123e8,global,T_NOTYPE(0000),`string',inflate.obj
3,0x12404,global,T_NOTYPE(0000),`string',inflate.obj
3,0x12418,global,T_NOTYPE(0000),`string',inflate.obj
3,0x12430,global,T_NOTYPE(0000),`string',inflate.obj
3,0x12440,global,T_NOTYPE(0000),`string',inflate.obj
3,0x123d0,global,T_NOTYPE(0000),`string',inffast.obj
3,0x123b4,global,T_NOTYPE(0000),`string',inffast.obj
3,0x13650,global,0x47B5,inflate_mask,inffast.obj
3,0x123b4,global,T_NOTYPE(0000),`string',infcodes.obj
3,0x123d0,global,T_NOTYPE(0000),`string',infcodes.obj
3,0x13650,global,0x47B5,inflate_mask,infcodes.obj
3,0x12340,global,T_NOTYPE(0000),`string',infblock.obj
3,0x12354,global,T_NOTYPE(0000),`string',infblock.obj
3,0x12374,global,T_NOTYPE(0000),`string',infblock.obj
3,0x12398,global,T_NOTYPE(0000),`string',infblock.obj
3,0x13650,global,0x47B5,inflate_mask,infblock.obj
2,0x34fc,static,0x4802,border,infblock.obj
3,0x2e270,global,0x4A9C,gpWindowManager,iconwdgt.obj
2,0x34cc,global,T_NOTYPE(0000),iconWidget::`vftable',iconwdgt.obj
