# every stored comment (HD-pressing addresses); kind r=repeatable, n=normal.
hd_va,kind,text
0x403400,n,h
0x403405,n,y
0x403407,n,x
0x403428,n,this
0x403435,n,this
0x403475,n,updateFlag
0x403477,n,drawWinSect
0x403479,n,iWhich
0x40347a,n,this
0x40348a,n,status
0x40348e,n,id
0x403490,n,this
0x4034a7,n,status
0x4034ac,n,id
0x4034b0,n,this
0x40350c,n,extra
0x40350e,n,itemID
0x40350f,n,subtype
0x403511,n,command
0x403516,n,this
0x403530,n,this
0x403536,n,w
0x40353b,n,h
0x403540,n,y
0x403542,n,x
0x40356b,n,this
0x4035ce,n,int
0x4035d5,n,this
0x4035e9,n,int
0x403609,n,this
0x40360d,n,bitmap_name
0x403616,n,int
0x403618,n,int
0x403619,n,this
0x403620,n,this
0x403628,n,extra
0x403629,n,itemID
0x40362a,n,subtype
0x40362c,n,command
0x403631,n,this
0x40363b,n,int
0x40363d,n,int
0x40363e,n,this
0x403645,n,this
0x40364d,n,extra
0x403651,n,itemID
0x403652,n,subtype
0x403654,n,command
0x403659,n,this
0x403662,n,this
0x403673,n,status
0x403675,n,id
0x403676,n,this
0x403680,n,extra
0x403682,n,itemID
0x403683,n,subtype
0x403685,n,command
0x40368a,n,this
0x403691,n,status
0x403693,n,id
0x403694,n,this
0x40369e,n,extra
0x4036a0,n,itemID
0x4036a1,n,subtype
0x4036a3,n,command
0x4036a8,n,this
0x4036b2,n,status
0x4036b4,n,id
0x4036b5,n,this
0x4036df,n,this
0x4036e6,n,extra
0x4036f0,n,command
0x403743,n,this
0x403754,n,this
0x40375b,n,extra
0x40375d,n,command
0x403777,n,this
0x40377d,n,w
0x403788,n,h
0x40378a,n,y
0x40378b,n,x
0x4037a9,n,this
0x4037db,n,status
0x4037dd,n,id
0x4037de,n,this
0x403803,n,this
0x403806,n,is_small
0x40380d,n,extra
0x40380e,n,itemID
0x40380f,n,subtype
0x403811,n,command
0x403816,n,this
0x403822,n,extra
0x403824,n,itemID
0x403825,n,subtype
0x403827,n,command
0x40382c,n,this
0x403833,n,status
0x403835,n,id
0x403836,n,this
0x40386d,n,extra
0x40386f,n,itemID
