# NH3API v2.1 IDB functions; hd_va is the HD pressing; retail_rva only where the hdmap
# masked-identity bridge lands (crossbuild-verified correspondence, name still external).
hd_va,name,readable,prototype,retail_rva
0x406f60,?Open@advManager@@UAAHH@Z,advManager_Open,"int (__thiscall ?Open@advManager@@UAAHH@Z)(advManager* this, int priority)",
0x407740,?Close@advManager@@UAAXXZ,advManager_Close,void (__thiscall ?Close@advManager@@UAAXXZ)(advManager* this),
0x407a20,?InMapArea@advManager@@QAAHHH@Z,advManager_InMapArea,"int (__thiscall ?InMapArea@advManager@@QAAHHH@Z)(advManager* this, int x, int y)",0x7ac0
0x407a70,?get_mouse_map_point@advManager@@QBA?AUtype_point@@XZ,advManager_get_mouse_map_point,"type_point (__thiscall ?get_mouse_map_point@advManager@@QBA?AUtype_point@@XZ)(advManager* this, type_point* result)",0x7b10
0x407ae0,?DoAdvCommand@advManager@@QAAPAVNewmapCell@@AAUtype_point@@@Z,advManager_DoAdvCommand,"NewmapCell* (__thiscall ?DoAdvCommand@advManager@@QAAPAVNewmapCell@@AAUtype_point@@@Z)(advManager* this, type_point* trigger_point)",0x7b80
0x4086d0,?cell@NewfullMap@@QAAPAVNewmapCell@@HHH@Z,NewfullMap_cell,"NewmapCell* (__thiscall ?cell@NewfullMap@@QAAPAVNewmapCell@@HHH@Z)(NewfullMap* this, int x, int y, int z)",0x8770
0x408710,?Main@advManager@@UAAHAAUmessage@@@Z,advManager_Main,"int (__thiscall ?Main@advManager@@UAAHAAUmessage@@@Z)(advManager* this, message*)",
0x408ba0,?ProcessKeyPress@advManager@@QAAHABUmessage@@AA_NAAUtype_point@@AAPAVNewmapCell@@@Z,advManager_ProcessKeyPress,"int (__thiscall ?ProcessKeyPress@advManager@@QAAHABUmessage@@AA_NAAUtype_point@@AAPAVNewmapCell@@@Z)(advManager* this, message* msg, bool* exitFlag, type_point* trigger_point, NewmapCell** peventCell)",
0x409740,?ProcessSelect@advManager@@QAAHABUmessage@@AAUtype_point@@AAPAVNewmapCell@@@Z,advManager_ProcessSelect,"int (__thiscall ?ProcessSelect@advManager@@QAAHABUmessage@@AAUtype_point@@AAPAVNewmapCell@@@Z)(advManager* this, message* msg, type_point* trigger_point, NewmapCell** peventCell)",
0x4099d0,?ProcessDeSelect@advManager@@QAAHABUmessage@@AA_NAAUtype_point@@AAPAVNewmapCell@@@Z,advManager_ProcessDeSelect,"int (__thiscall ?ProcessDeSelect@advManager@@QAAHABUmessage@@AA_NAAUtype_point@@AAPAVNewmapCell@@@Z)(advManager* this, message* msg, bool* exitFlag, type_point* trigger_point, NewmapCell** peventCell)",
0x40a020,?ProcessRadarSelect@advManager@@QAAXABUmessage@@@Z,advManager_ProcessRadarSelect,"void (__thiscall ?ProcessRadarSelect@advManager@@QAAXABUmessage@@@Z)(advManager* this, message* msg)",
0x40a530,?ProcessMapSelect@advManager@@QAAXABUmessage@@AAUtype_point@@AAPAVNewmapCell@@@Z,advManager_ProcessMapSelect,"void (__thiscall ?ProcessMapSelect@advManager@@QAAXABUmessage@@AAUtype_point@@AAPAVNewmapCell@@@Z)(advManager* this, message* msg, type_point* trigger_point, NewmapCell** peventCell)",
0x40ab40,sub_40AB40,,"int8* (__fastcall sub_40AB40)(int8* buffer, NewmapCell* cell, int type)",
0x40aec0,sub_40AEC0,,,
0x40af10,?get_trigger_cell@type_cell_adjuster@@QAAPAVNewmapCell@@PAV2@HH@Z,type_cell_adjuster_get_trigger_cell,"NewmapCell* (__thiscall ?get_trigger_cell@type_cell_adjuster@@QAAPAVNewmapCell@@PAV2@HH@Z)(type_cell_adjuster* this, NewmapCell* map_cell, int x, int y)",
0x40b040,?DrawRolloverText@advManager@@QAAXPAD@Z,advManager_DrawRolloverText,"void (__thiscall ?DrawRolloverText@advManager@@QAAXPAD@Z)(advManager* this, int8* text)",0xb0e0
0x40b0b0,?SetRolloverText@advManager@@QAAXPAVNewmapCell@@HH@Z,advManager_SetRolloverText,"void (__thiscall ?SetRolloverText@advManager@@QAAXPAVNewmapCell@@HH@Z)(advManager* this, NewmapCell* testCell, int rx, int ry)",0xb150
0x40d350,get_creature_bank_help_text,,"void (__fastcall get_creature_bank_help_text)(int8* buffer, NewmapCell* cell, type_creature_bank_type type, int player_id, int8* separator, bool show_full_list)",
0x40d5d0,sub_40D5D0,,"void (__fastcall sub_40D5D0)(int8*, void*, int* cell, int8*, int type)",
0x40d830,sub_40D830,,,
0x40da60,SetTreeHelpText,,"void (__fastcall SetTreeHelpText)(int8* buffer, hero* current_hero, NewmapCell* cell, int8* separator_1, int8* separator_2)",
0x40dc20,sub_40DC20,,"int8 (__fastcall sub_40DC20)(int8* a1, int a2, int* a3, int8* a4, int8* a5)",
0x40de10,?ProcessWaitingHover@advManager@@QAAHHH@Z,advManager_ProcessWaitingHover,"int (__thiscall ?ProcessWaitingHover@advManager@@QAAHHH@Z)(advManager* this, int x, int y)",
0x40e1e0,?get_normal_cursor@advManager@@AAA?AW4type_adventure_cursor@@PAVNewmapCell@@@Z,advManager_get_normal_cursor,"type_adventure_cursor (__thiscall ?get_normal_cursor@advManager@@AAA?AW4type_adventure_cursor@@PAVNewmapCell@@@Z)(advManager* this, NewmapCell* currCell)",0xe280
0x40e2c0,?ProcessHover@advManager@@QAAHHH@Z,advManager_ProcessHover,"int (__thiscall ?ProcessHover@advManager@@QAAHHH@Z)(advManager* this, int mouseX, int mouseY)",
