# every name in the IDB (HD-pressing addresses).
hd_va,kind,name,readable
0x408ba0,mangled,?ProcessKeyPress@advManager@@QAAHABUmessage@@AA_NAAUtype_point@@AAPAVNewmapCell@@@Z,advManager_ProcessKeyPress
0x40968c,user,def_408C1D,
0x40969c,user,jpt_408C1D,
0x409740,mangled,?ProcessSelect@advManager@@QAAHABUmessage@@AAUtype_point@@AAPAVNewmapCell@@@Z,advManager_ProcessSelect
0x40993a,user,def_409782,
0x409990,user,jpt_409782,
0x4099d0,mangled,?ProcessDeSelect@advManager@@QAAHABUmessage@@AA_NAAUtype_point@@AAPAVNewmapCell@@@Z,advManager_ProcessDeSelect
0x409f32,user,def_409A14,
0x409fb8,user,jpt_409A14,
0x40a020,mangled,?ProcessRadarSelect@advManager@@QAAXABUmessage@@@Z,advManager_ProcessRadarSelect
0x40a530,mangled,?ProcessMapSelect@advManager@@QAAXABUmessage@@AAUtype_point@@AAPAVNewmapCell@@@Z,advManager_ProcessMapSelect
0x40a78f,user,def_40A6F6,
0x40aae0,user,jpt_40A6F6,
0x40af10,mangled,?get_trigger_cell@type_cell_adjuster@@QAAPAVNewmapCell@@PAV2@HH@Z,type_cell_adjuster_get_trigger_cell
0x40b040,mangled,?DrawRolloverText@advManager@@QAAXPAD@Z,advManager_DrawRolloverText
0x40b0b0,mangled,?SetRolloverText@advManager@@QAAXPAVNewmapCell@@HH@Z,advManager_SetRolloverText
0x40d047,user,def_40B16E,
0x40d188,user,jpt_40B16E,
0x40d350,user,get_creature_bank_help_text,
0x40da60,user,SetTreeHelpText,
0x40de10,mangled,?ProcessWaitingHover@advManager@@QAAHHH@Z,advManager_ProcessWaitingHover
0x40e1e0,mangled,?get_normal_cursor@advManager@@AAA?AW4type_adventure_cursor@@PAVNewmapCell@@@Z,advManager_get_normal_cursor
0x40e2c0,mangled,?ProcessHover@advManager@@QAAHHH@Z,advManager_ProcessHover
0x40e97c,user,def_40E93E,
0x40eb5c,user,jpt_40E93E,
0x40ebe0,mangled,?Reseed@advManager@@QAAXHH@Z,advManager_Reseed
0x40ebf0,mangled,?ProcessSearch@advManager@@QAAHHHH@Z,advManager_ProcessSearch
0x40f1a0,user,dynamic_initializer_USMsg_40F1A0,
0x40f1d0,mangled,?UpdateScreen@advManager@@QAAXHH@Z,advManager_UpdateScreen
0x40f250,mangled,?DrawAdventureMapGems@advManager@@QAAXXZ,advManager_DrawAdventureMapGems
0x40f350,mangled,?CompleteDraw@advManager@@QAAXHHH_N0@Z,advManager_CompleteDraw
0x40f7d0,mangled,?CompleteDraw@advManager@@QAAX_N@Z,advManager_CompleteDraw
0x40f820,mangled,?GetCloudLookup@advManager@@QAAHHHH@Z,advManager_GetCloudLookup
0x40fa90,mangled,?ScanForHeroOrBoat@advManager@@QAA_NHHHGAAY05UTDrawParts@@@Z,advManager_ScanForHeroOrBoat
0x40fc00,mangled,?hasFlag@@YA_NH@Z,hasFlag
0x40fc1a,user,def_40FC10,
0x40fc20,user,jpt_40FC10,
0x40fc80,mangled,?GetFlaggedObjectOwner@@YAHPAVNewmapCell@@@Z,GetFlaggedObjectOwner
0x40fd1e,user,def_40FCC5,
0x40fd24,user,jpt_40FCC5,
0x40fd90,mangled,?DrawHeroPart@advManager@@QAAXHAAUTDrawParts@@HHHHHH@Z,advManager_DrawHeroPart
0x410220,mangled,?DrawHeroPartShadow@advManager@@QAAXHAAUTDrawParts@@HHHHHH@Z,advManager_DrawHeroPartShadow
0x4106c0,mangled,?DrawBoatPart@advManager@@QAAXHAAUTDrawParts@@HHHHHH@Z,advManager_DrawBoatPart
0x410910,mangled,?DrawBoatPartShadow@advManager@@QAAXHAAUTDrawParts@@HHHHHH@Z,advManager_DrawBoatPartShadow
0x410b60,mangled,?DrawAdvObj@advManager@@QAAXHHHHH@Z,advManager_DrawAdvObj
0x41104a,user,def_410EBA,
0x411182,user,def_410DEE,
0x41145c,user,jpt_410DEE,
0x411494,user,jpt_410EBA,
0x4114f0,mangled,?DrawAdvObjShadow@advManager@@QAAXHHHHH@Z,advManager_DrawAdvObjShadow
0x41197a,user,def_41178A,
0x411a9c,user,jpt_41178A,
0x411ae0,mangled,?DrawRiver@advManager@@QAAXHHHHH@Z,advManager_DrawRiver
0x411cc0,mangled,?DrawRoad@advManager@@QAAXHHHHH@Z,advManager_DrawRoad
0x411eb0,mangled,?DrawArrowShadow@advManager@@QAAXHHHHH@Z,advManager_DrawArrowShadow
0x412010,mangled,?DrawArrow@advManager@@QAAXHHHHH@Z,advManager_DrawArrow
0x412180,mangled,?DrawShroud@advManager@@QAAXHHHHH@Z,advManager_DrawShroud
0x4123d0,mangled,?DrawUnderlay@advManager@@QAAXHHHHH@Z,advManager_DrawUnderlay
0x412730,user,def_4125BD,
0x4127f8,user,jpt_4125BD,
0x412860,mangled,?DrawGround@advManager@@QAAXHHHHH@Z,advManager_DrawGround
0x412b30,mangled,?GetCell@advManager@@QAAPAVNewmapCell@@Utype_point@@@Z,advManager_GetCell
0x412ba0,mangled,?UpdateRadar@advManager@@QAAXUtype_point@@_N1111@Z,advManager_UpdateRadar
0x412e06,user,def_412DA3,
0x4130df,user,def_412F50,
0x4131d7,user,def_4130F8,
0x413530,user,jpt_412DA3,
0x4135b4,user,jpt_412F50,
0x413660,user,jpt_4130F8,
0x4136f0,mangled,?UpdateRadar@advManager@@QAAX_N0000@Z,advManager_UpdateRadar
0x413720,mangled,?QuickInfo@advManager@@QAAXHHH@Z,advManager_QuickInfo
0x415999,user,def_41392F,
0x415b04,user,jpt_41392F,
0x415cc0,mangled,?OverrideBottomView@advManager@@QAAXW4EBottomViewType@1@H@Z,advManager_OverrideBottomView
0x415d0a,user,def_415CE6,
0x415d20,user,jpt_415CE6,
0x415d40,mangled,?UpdBottomView@advManager@@QAAX_N00@Z,advManager_UpdBottomView
0x415e5d,user,def_415D82,
0x415e64,user,jpt_415D82,
0x415e80,mangled,?UpdBottomViewEnemyTurn@advManager@@AAA_N_N@Z,advManager_UpdBottomViewEnemyTurn
0x415f10,mangled,?UpdBottomViewNewTurn@advManager@@AAA_N_N@Z,advManager_UpdBottomViewNewTurn
0x415fc0,mangled,?BVResMsg@advManager@@QAAXPBDHH@Z,advManager_BVResMsg
0x4160c0,mangled,?UpdBottomViewResMsg@advManager@@AAA_N_N@Z,advManager_UpdBottomViewResMsg
0x416170,mangled,?BVMessage@advManager@@QAAXPBD@Z,advManager_BVMessage
0x416250,mangled,?UpdBottomViewMessage@advManager@@AAA_N_N@Z,advManager_UpdBottomViewMessage
0x416300,mangled,?UpdBottomViewKingdom@advManager@@AAA_N_N@Z,advManager_UpdBottomViewKingdom
0x4163b0,mangled,?UpdBottomViewHero@advManager@@AAA_N_N@Z,advManager_UpdBottomViewHero
0x416450,mangled,?UpdBottomViewTown@advManager@@AAA_N_N@Z,advManager_UpdBottomViewTown
0x4164f0,mangled,?HeroQuickView@advManager@@QAAXHHH_N@Z,advManager_HeroQuickView
0x416700,mangled,?TownQuickView@advManager@@QAAXHHH_N@Z,advManager_TownQuickView
0x416ee0,mangled,?garrison_quick_view@advManager@@AAAXHHH@Z,advManager_garrison_quick_view
0x4170b0,mangled,?MonsterQuickView@advManager@@QAAXPBVNewmapCell@@HH@Z,advManager_MonsterQuickView
0x417380,mangled,?RedrawAdvScreen@advManager@@QAAX_N0@Z,advManager_RedrawAdvScreen
0x4174d0,mangled,?DeactivateCurrTown@advManager@@QAAX_N@Z,advManager_DeactivateCurrTown
0x417500,mangled,?DeactivateCurrHero@advManager@@QAAX_N@Z,advManager_DeactivateCurrHero
0x417540,mangled,?MobilizeCurrHero@advManager@@QAAXH_N0@Z,advManager_MobilizeCurrHero
0x4175e0,mangled,?DemobilizeCurrHero@advManager@@QAEXXZ,advManager_DemobilizeCurrHero
0x417790,mangled,?SetTownContext@advManager@@QAAXH_N0@Z,advManager_SetTownContext
0x417a80,mangled,?SetHeroContext@advManager@@QAAXHH_N0@Z,advManager_SetHeroContext
0x4180c0,mangled,?SaveGame@@YA_N_N@Z,SaveGame
0x418330,mangled,?SetEnvironmentOrigin@advManager@@QAAXUtype_point@@H@Z,advManager_SetEnvironmentOrigin
0x418580,mangled,?GetSoundId@advManager@@QAA?AW4e_looping_sound_id@@HHH@Z,advManager_GetSoundId
0x4188a8,user,def_418769,
0x41890c,user,jpt_4185EB,
0x418a14,user,jpt_4185FF,
0x418a30,user,jpt_418640,
0x418a4c,user,jpt_418769,
0x418b70,mangled,?InsertSound@advManager@@QAAXHHHHH@Z,advManager_InsertSound
0x418d30,mangled,?ShowRoute@advManager@@QAAXHHH@Z,advManager_ShowRoute
0x419210,mangled,??0type_point@@QAA@FFF@Z,type_point_ctor
0x419260,mangled,?HideRoute@advManager@@QAAXHHH@Z,advManager_HideRoute
0x4193b0,mangled,?CheckDimNextHeroBut@advManager@@QAAXXZ,advManager_CheckDimNextHeroBut
0x419400,mangled,?SeedTo@advManager@@QAAXUtype_point@@@Z,advManager_SeedTo
0x4194d0,mangled,?ForceNewHover@advManager@@QAAXXZ,advManager_ForceNewHover
0x419520,mangled,?ScreenScroll@advManager@@QAAXHH@Z,advManager_ScreenScroll
0x419758,user,jpt_41959A,
0x419780,mangled,?CheckScreenScroll@advManager@@QAAXXZ,advManager_CheckScreenScroll
0x4198f0,mangled,?SetInitialMapOrigin@advManager@@QAAXXZ,advManager_SetInitialMapOrigin
0x419be0,mangled,?PopupPlayerTurnInfo@@YAXXZ,PopupPlayerTurnInfo
0x419d60,mangled,?StartLocalPlayerTurn@advManager@@QAAXXZ,advManager_StartLocalPlayerTurn
0x41a060,mangled,?LoadRemote@advManager@@QAAX_N@Z,advManager_LoadRemote
0x41a140,mangled,?TrimLoopingSounds@advManager@@QAAXH@Z,advManager_TrimLoopingSounds
0x41a240,mangled,?DisableButtons@advManager@@QAAXXZ,advManager_DisableButtons
