# ??_7 vtable names (HD-pressing addresses).
hd_va,name,class
0x645a3c,??_7?$num_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@6B@,?$num_get@GV?$istreambuf_iterator@GU?$char_traits@G@std
0x645a68,??_7?$ctype@G@std@@6B@,?$ctype@G@std
0x645acc,??_7?$_Mpunct@G@std@@6B@,?$_Mpunct@G@std
0x645c40,??_7?$time_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@6B@,?$time_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std
0x645c4c,??_7?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@6B@,?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std
0x645c6c,??_7?$moneypunct@D$00@std@@6B@,?$moneypunct@D$00@std
0x645c98,??_7?$moneypunct@D$0A@@std@@6B@,?$moneypunct@D$0A
0x645cc4,??_7?$money_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@6B@,?$money_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std
0x645cd4,??_7?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@6B@,?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std
0x645ce4,??_7?$messages@D@std@@6B@,?$messages@D@std
0x645cf8,??_7?$collate@D@std@@6B@,?$collate@D@std
0x645d0c,??_7?$_Mpunct@D@std@@6B@,?$_Mpunct@D@std
0x645d38,??_7type_info@@6B@,type_info
0x645d40,??_7exception@@6B@,exception
