# MANUALLY MANAGED - reviewed rows; hand-owned after admission.
# Every verified function span in the pinned PEF code section; names
# come from source MAC_ADDRESS claims, the runtime maps and glue map.
# exe: Heroes PEF sha256=650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86 size=3418835
# Offsets are relative to PEF code section 0; lowercase 0x hex.
offset	size
0x5ed8c	0x78
0x5ee04	0x1c
0x5ee20	0x1c
0x5ee3c	0x74
0x5eeb0	0xb0
0x5ef60	0x4
0x5ef64	0x4
0x5ef68	0x60
0x5efc8	0x1c0
0x5f188	0x68
0x5f1f0	0xcc
0x5f2bc	0x4
0x5f2c0	0x400
0x5f6c0	0xe4
0x5f7a4	0x41c
0x5fbc0	0x214
0x5fdd4	0x9b4
0x60788	0xcac
0x61434	0x8a4
0x61cd8	0x5fc
0x622d4	0x98
0x6236c	0x2ec
0x62658	0x60
0x626b8	0x60
0x62718	0x60
0x62778	0x60
0x627d8	0x60
0x62838	0x60
0x62898	0x60
0x628f8	0x1c0
0x62ab8	0xb0
0x62b68	0x84
0x62bec	0x80
0x62c6c	0x12c
0x62d98	0x9c
0x62e34	0x60
0x62e94	0xd4
0x62f68	0x554
0x634bc	0x124
0x635e0	0xd8
0x636b8	0xc
0x636c4	0xc
0x636d0	0x4
0x636d4	0x110
0x637e4	0x4
0x637e8	0x54
0x6383c	0x20
0x6385c	0xd4
0x63930	0x74
0x639a4	0xf4
0x63a98	0x6c
0x63b04	0x90
0x63b94	0x60
0x63bf4	0x1c0
0x63db4	0x290
0x64044	0x228
0x6426c	0x8
0x64274	0x94
0x64308	0x94
0x6439c	0xb0
0x6444c	0x88
0x644d4	0xb0
0x64584	0x19c
0x64720	0x984
0x650a4	0x2f0
0x65394	0x3c
0x653d0	0x148
0x65518	0x1b5c
0x67074	0x24
0x67098	0x24
0x670bc	0x10
0x670cc	0x60
0x6712c	0x68
0x67194	0x80
0x67214	0x8
0x6721c	0x5c
0x67278	0x58
0x672d0	0x14
0x672e4	0xa0
0x67384	0xac
0x67430	0x168
0x67598	0xb0
0x67648	0x104
0x6774c	0x24
0x67770	0x5c
0x677cc	0x8
0x677d4	0x164
0x67938	0x68
0x679a0	0x50
0x679f0	0x838
0x68228	0x24
0x6824c	0x94
0x682e0	0x1c
0x682fc	0x19c
0x68498	0x1f0
0x68688	0x80
0x68708	0xcc
0x687d4	0x28
0x687fc	0x118
0x68914	0x16c
0x68a80	0x300
